Class name,Tag,Wikidata,Iconclass
Angel,,Q235113,11G
Apple,,Q89,25G21(APPLE)
Arrow,,Q45922,45C15
Banana,,Q503,N/A
Banner,,Q806880,44A31
Bear,,Q30090244,25F23(BEAR)
Bird,,Q5113,25F3
Boat,,Q35872,46C23
Book,,Q571,49M32
Butterfly,,Q11946202,25F711(BUTTERFLY)
Camauro,,Q539160,N/A
Cat,,Q146,34B12
Centaur,,Q83203,92L7
Chalice,,Q210723,"11Q71441,49E39313"
Cock/Rooster,rooster,Q780,34B232
Cow (w/bull and ox),cow,Q11748378,47I2112
Crozier,,Q506002,11P31131
Crown,,Q170984,44B191
Crown of thorns,,Q1127583,73D82(CROWN OF THORNS)
Crucifixion (generic),crucifixion,Q3235597,?
Deer,,Q685795,25F24(DEER)
Devil,,Q35230,11K(SATAN)
Dog,,Q144,34B11
"Donkey, ass",donkey,Q3537778,46C13142
Dove,,Q10856,34B231
Dragon,,Q7559,"25FF411,25FF422"
Eagle,,Q2092297,25F33(EAGLE)
Elephant,,Q7378,25F25(ELEPHANT)
God the Father,,Q186350,11C
Halo,,Q3341893,22C3116
Helmet,,Q173603,45C221
Hand,,Q33767,31A2245
Head,,?,31E236219
Holy shroud,,Q178331,?
Horn,,Q65284752,?
Horse,,Q726,46C13141
Judith,,Q28532552,46AA1262
Jug,,Q2413314,41C326
Key of heaven ,,Q2546006,73C71242
Knight,,Q102083,46A124
Lance/Spear,lance,Q2003053,45C14(LANCE)
Lilly,,Q5194627,25G41(LILY)
Lion,,Q140,25F23(LION)
Mitre,,Q193888,11P31131
Monk,,Q733786,11P31521
Monkey,,Q1367,25F22
Mouse,,Q39275,25F26(MOUSE)
Nude,,Q40446,41D9
Orange,,Q13191,25G21(ORANGE)
Palm,,Q2709536,25G3(PALM-TREE)
Pegasus,,Q162797,93D1
Person,,Q215627,3
Prayer,,Q40953,11Q21
Saturno,,Q134388,91B111
Scroll ,,Q720106,49L71
Serpent,,Q213096,?
Sheep,,Q7368,47I213
Shepherd,,Q81710,47I221
Shield,,Q131559,45C19
Skull,,Q13147,31A211
Stole,,Q732034,11Q71466
Swan,,Q13508009,25F36(SWAN)
Sword,,Q12791,45C13(SWORD)
Tiara,,Q749249,41D2666
Tree,,Q10884,25G3
Unicorn,,Q7246,25FF241
Trumpet,,Q8338,48C7352
Zebra,,Q32789,25F24(ZEBRA) 
Zucchetto,,Q668648,N/A